Studiengang;Veranstaltung;Dozent;Dozentenwahl
MAGM;International Accounting;Prof. Dr. Michael Dusemond;0
MAGM;Konzernrechnungslegung;Prof. Dr. Michael Dusemond;0
MAGM;Innovationsmanagement;Prof. Dr. Manfred Zilling;0
MAGM;Managment für den Mittelstand;Prof. Dr. Frank Albe /  Prof. Dr. Bernhard Vollmar;0
MAGM;Unternehmensnachfolge;Prof. Dr. Bernhard Vollmar;0
MAGM;Industrielles Management II;Prof. Dr. Jürgen Bloech;0
MAGM;Tourism and Travel Management II;Prof. Dr. Frank Albe;0
MAGM;Vertriebsmanagement II;Prof. Dr. Michael Heinlein;0
MAGM;Internationales Marketing II;Prof. Dr. Hans-Christian Riekhof;0
MAGM;E-Business II;Prof. Dr. Manfred Zilling / Prof. Dr. Hubert Schüle;0
MAGM;Corporate Financial Management II;Prof. Dr. Bernhard Vollmar;0
MAGM;International Political Economy;Prof. Dr. Joachim Ahrens;0
MAGM;Englisch;Frau Susan Schanz;0
MAGM;Leadership-Training;Herr Andreas Biskup;0
MAGMWS;Unternehmensbewertung M\&A;Prof. Dr. Frank Beine;0
MAGMWS;Steuern;Dr. Frank Oettler;0
MAGMWS;Corporate Finance;Prof. Dr. Kai C. Andrejewski;0
MAGMWS;Strategische Unternehmensführung;Dr. Jobst-Walter Dietz;0
MAGMWS;Human Resources Management;Prof. Dr. Antje Mörstedt;0
MAGMWS;Organisation;Prof. Dr. Antje Mörstedt;0
MAGMWS;Strategische Unternehmensführung;Prof. Dr. Jobst-Walter Dietz;0
MAGMWS;Industrielles Management I;Prof. Dr. Jürgen Bloech;0
MAGMWS;Tourism and Travel Management I;Prof. Dr. Frank Albe;0
MAGMWS;Vertriebsmanagement I;Prof. Dr. Michael Heinlein;0
MAGMWS;Internationales Marketing I;Prof. Dr. Hans-Christian Riekhof;0
MAGMWS;E-Business I;Prof. Dr. Hubert Schüle;0
MAGMWS;Corporate Financial Management I;Prof. Dr. Bernhard Vollmar;0
MAGMWS;Englisch;Frau Susan Schanz;0
MAGMWS;Konfliktmanagement;Andreas Biskup;0
